original_title,original_review,cleaned_text,rating,date,language
Spicy special was too much,Their 'Firebreather' pizza should come with a warning label. It wasn't enjoyably spicy - it was painfully hot to the point where I couldn't taste anything else. Had to throw most of it away.,spicy special Firebreather pizza come warning label enjoyably spicy painfully hot point taste throw away,2,2024-02-10,en
Perfect thin crust,"If you're a thin crust fan, this is your place. Cracker-thin, crispy all the way through, yet somehow still has a nice chew. Their simple cheese pizza showcases their excellent sauce - slightly sweet with a nice herb blend.",perfect thin crust thin crust fan place Cracker thin crispy way nice chew simple cheese pizza showcase excellent sauce slightly sweet nice herb blend,5,2024-03-18,en
Dirty restaurant,"I was shocked at the state of this place. Tables were sticky, floors were dirty, and I could see into the kitchen which didn't look any better. Couldn't enjoy my pizza as I was too concerned about hygiene standards.",dirty restaurant shock state place table sticky floor dirty kitchen look well enjoy pizza concerned hygiene standard,1,2024-01-20,en
Best Hawaiian in the city,"I know Hawaiian pizza is controversial, but if you're a fan, you must try theirs. They use fresh pineapple (not canned) and house-cured ham that's sliced thick. The sweet and salty balance is perfect.",well hawaiian city know hawaiian pizza controversial fan try theirs use fresh pineapple can house cure ham slice thick sweet salty balance perfect,5,2024-02-25,en
Too much sauce,"The ingredients seemed high quality, but they absolutely drown their pizzas in sauce. My crust was soggy in minutes, and all I could taste was tomato. Asked for light sauce on a second pizza and it was much better.",sauce ingredient high quality absolutely drown pizza sauce crust soggy minute taste tomato ask light sauce second pizza well,3,2024-03-08,en
Amazing Detroit-style,"Their Detroit-style square pizza is incredible - crispy cheese edges, fluffy interior, and those corner pieces are to die for! The pepperoni cup and char perfectly. Worth the 30-minute wait.",amazing Detroit style Detroit style square pizza incredible crispy cheese edge fluffy interior corner piece die pepperoni cup char perfectly worth minute wait,5,2024-01-10,en
Inconsistent quality,I've been here three times. First visit: amazing. Second: terrible. Third: just okay. Seems like it really depends on who's working that day. Wish they could maintain better quality control.,inconsistent quality time visit amazing second terrible okay like depend work day wish maintain well quality control,3,2024-02-08,en
Perfect for lunch specials,"Their lunch deal is unbeatable - $10 for a 10-inch pizza and small salad. The pizza comes out quickly, is always fresh, and the perfect size for one person. Great place for a work lunch.",perfect lunch special lunch deal unbeatable inch pizza small salad pizza come quickly fresh perfect size person great place work lunch,4,2024-03-12,en
Too noisy for conversation,The pizza was good - I especially liked their sausage and mushroom combination - but the restaurant is like an echo chamber. Couldn't hear my date across the table. Better as a takeout option.,noisy conversation pizza good especially like sausage mushroom combination restaurant like echo chamber hear date table well takeout option,3,2024-01-30,en
Best white pizza ever,"Their 'White Album' pizza with ricotta, mozzarella, garlic, and spinach is phenomenal. The cheeses are creamy but not heavy, and the fresh garlic adds the perfect punch. Don't skip the spicy honey drizzle!",best white pizza White Album pizza ricotta mozzarella garlic spinach phenomenal cheese creamy heavy fresh garlic add perfect punch skip spicy honey drizzle,5,2024-02-18,en
New owners ruined it,"This used to be our favorite place, but it changed hands three months ago and it's not the same. The dough doesn't have the same flavor, the sauce is too sweet now, and they seem to use lower quality cheese.",new owner ruin favorite place change hand month ago dough flavor sauce sweet use low quality cheese,2,2024-03-03,en
Creative seasonal specials,"Just had their spring special with asparagus, lemon ricotta, and prosciutto. The combination was bright, fresh, and perfect for the season. Love that they use local, seasonal ingredients.",creative seasonal special spring special asparagus lemon ricotta prosciutto combination bright fresh perfect season love use local seasonal ingredient,5,2024-01-12,en
Epic meat lovers option,"If you're a carnivore, their 'Butcher's Block' pizza is incredible. Five different meats, all high quality - the soppressata and house-made sausage are standouts. Just be ready for a food coma afterward!",epic meat lover option carnivore Butcher Block pizza incredible different meat high quality soppressata house sausage standout ready food coma afterward,4,2024-02-22,en
Burnt crust ruins it,"They claim 'char' is part of the Neapolitan experience, but there's a difference between char and burnt. The entire bottom of my pizza was black and bitter. Scraping it off meant losing half the crust.",burn crust ruin claim char Neapolitan experience difference char burn entire pizza black bitter scrap mean lose half crust,2,2024-03-07,en
Perfect for big groups,"We had a party of 12 and they accommodated us perfectly. Their 20-inch shareable pizzas are great for groups, and they were happy to do half-and-half toppings to please everyone. Service was impressively coordinated.",perfect big group party accommodate perfectly inch shareable pizza great group happy half half topping Service impressively coordinate,5,2024-01-23,en
Undercooked in the middle,"The edges of the pizza were fine, but the middle was doughy and undercooked. The toppings were sliding off the soggy center. When I mentioned it, they just said that's how their pizza is supposed to be.",undercooke middle edge pizza fine middle doughy undercooked topping slide soggy center mention say pizza suppose,2,2024-02-12,en
Phenomenal crust,"Whatever they do to their dough is magical - it's got that perfect combination of crispy and chewy with a slight sourdough tang. I could eat their plain crust by itself, it's that good.",phenomenal crust dough magical get perfect combination crispy chewy slight sourdough tang eat plain crust good,5,2024-03-20,en
Skimpy on toppings,"The quality of ingredients is good, but they're incredibly stingy with toppings. Counted just 10 pepperoni slices on a 14-inch pizza. For the price they charge, this feels like a rip-off.",skimpy topping quality ingredient good incredibly stingy topping count pepperoni slice inch pizza price charge feel like rip,3,2024-01-18,en
Excellent beer pairing suggestions,"Not only is their pizza excellent (try the fig and prosciutto!), but the staff is knowledgeable about their craft beer selection and can suggest the perfect pairing for whatever pizza you order.",excellent beer pair suggestion pizza excellent try fig prosciutto staff knowledgeable craft beer selection suggest perfect pairing pizza order,5,2024-02-27,en
Too salty,"Everything I tried was oversalted - the crust, the sauce, and especially the cheese. It was like they were trying to ensure you'd order more drinks. Couldn't finish my pizza and was thirsty all night.",salty try oversalte crust sauce especially cheese like try ensure order drink finish pizza thirsty night,2,2024-03-02,en
Perfect NY-style slices,"As a transplant from NYC, I've been searching for authentic NY-style pizza. This place nails it - thin, foldable slices with the right amount of chew and grease. Their plain cheese slice is perfection.",perfect ny style slice transplant NYC search authentic ny style pizza place nail thin foldable slice right chew grease plain cheese slice perfection,5,2024-01-08,en
Terrible delivery experience,"Ordered for Valentine's Day and regretted it. Pizza took 2 hours to arrive, was cold, and had the wrong toppings. Called the restaurant and they seemed completely unconcerned. Never again.",terrible delivery experience order Valentine Day regret Pizza take hour arrive cold wrong topping call restaurant completely unconcerned,1,2024-02-14,en
Innovative toppings,"Their 'Experimental' menu section is amazing. Just tried one with maple-glazed brussels sprouts, pancetta, and smoked gouda - sounds weird but it was incredible. They're not afraid to take risks.",innovative topping experimental menu section amazing try maple glaze brussels sprout pancetta smoke gouda sound weird incredible afraid risk,5,2024-03-16,en
Not enough cheese,"The sauce and crust were good, but they're stingy with cheese. You could see the sauce through the sparse cheese layer, and what was there didn't have that stretchy pull you want from a good pizza.",cheese sauce crust good stingy cheese sauce sparse cheese layer stretchy pull want good pizza,3,2024-01-28,en
Perfect crust-to-topping ratio,"Some places overload toppings so the crust gets soggy, others are too sparse. This place gets it perfect - enough toppings to get some in every bite, but not so much that the structural integrity is compromised.",perfect crust topping ratio place overload topping crust get soggy sparse place get perfect topping bite structural integrity compromise,5,2024-02-05,en
Rude staff ruined the meal,"The pizza itself was decent, but the counter staff was incredibly rude - sighing when I asked questions about ingredients, rushing my order, and actually rolling their eyes when I requested extra napkins.",rude staff ruin meal pizza decent counter staff incredibly rude sighing ask question ingredient rush order actually roll eye request extra napkin,2,2024-03-11,en
Excellent for takeout,"Their pizza travels remarkably well. Even after a 20-minute drive home, the crust was still crispy and everything was at the perfect temperature. They have their packaging technique down to a science.",excellent takeout pizza travel remarkably minute drive home crust crispy perfect temperature packaging technique science,4,2024-01-13,en
Too expensive for pizza,"The pizza is good, I'll give them that. But $30 for a basic large cheese pizza is highway robbery. Add toppings and you're looking at $40-50. The quality doesn't justify these premium prices.",expensive pizza pizza good basic large cheese pizza highway robbery add topping look quality justify premium price,3,2024-02-19,en
Fresh ingredients make the difference,"You can taste the difference in their sauce - clearly made from fresh tomatoes, not canned. Same with their vegetable toppings - all crisp and fresh. Makes other pizza places seem processed in comparison.",fresh ingredient difference taste difference sauce clearly fresh tomato can vegetable topping crisp fresh make pizza place process comparison,5,2024-03-04,en
Tiny portion sizes,"Their 'personal' pizza is the size of a CD. For $15, I expected something that would actually satisfy my hunger. Had to order a second one, turning a quick lunch into an expensive disappointment.",tiny portion size personal pizza size cd expect actually satisfy hunger order second turn quick lunch expensive disappointment,2,2024-01-26,en
Excellent Chicago deep dish,"Hard to find authentic Chicago-style pizza in this area, but they nail it. The buttery, flaky crust, the layering of cheese under the sauce, the chunky tomato topping - all perfect. Worth the 45-minute cook time.",Excellent Chicago deep dish hard find authentic Chicago style pizza area nail buttery flaky crust layering cheese sauce chunky tomato topping perfect worth minute cook time,5,2024-02-23,en
Too greasy to enjoy,"Had to literally blot my pizza with napkins, which came away completely saturated with grease. Whatever flavor might have been there was drowned in oil. Couldn't finish it as it was making me feel ill.",greasy enjoy literally blot pizza napkin come away completely saturate grease flavor drown oil finish make feel ill,2,2024-03-09,en
Perfect balance of flavors,"Their 'Mediterranean' pizza has the perfect balance of flavors - the briny olives, tangy feta, fresh tomatoes, and herb-infused olive oil all complement each other without any one element overwhelming the others.",perfect balance flavor Mediterranean pizza perfect balance flavor briny olive tangy feta fresh tomato herb infuse olive oil complement element overwhelm,5,2024-01-16,en
Bland sauce needs work,"The crust had a nice texture and the toppings were fine, but the sauce lacked any personality - no hint of herbs, garlic, or even salt. Since sauce is the foundation of a good pizza, this was disappointing.",bland sauce need work crust nice texture topping fine sauce lack personality hint herb garlic salt sauce foundation good pizza disappointing,3,2024-02-09,en
Excellent customer service,"Made a mistake on my online order and called the restaurant in a panic. They were so accommodating - halted production on the wrong pizza, made the correction, and even threw in free garlic knots for the trouble.",excellent customer service mistake online order call restaurant panic accommodate halt production wrong pizza correction throw free garlic knot trouble,5,2024-03-17,en
Doughy and undercooked,"The crust was still doughy and pale. When I mentioned it, they said that's their style, but it just seemed undercooked. The toppings were sliding off because there was no structure to hold them.",Doughy undercooke crust doughy pale mention say style undercooked topping slide structure hold,2,2024-01-21,en
Perfectly crispy crust,"However they achieve it, their crust has the perfect crispness all the way through - no soggy middle! Even the slices with lots of toppings maintain their structural integrity. Engineering marvel of pizza.",perfectly crispy crust achieve crust perfect crispness way soggy middle slice lot topping maintain structural integrity engineering marvel pizza,5,2024-02-24,en
Way too much oregano,"Do they measure their oregano with a shovel? It was completely overpowering - couldn't taste anything else. My entire car smelled like an Italian herb garden on the drive home, and not in a good way.",way oregano measure oregano shovel completely overpower taste entire car smell like italian herb garden drive home good way,2,2024-03-06,en
Authentic coal-fired perfection,Their coal-fired oven gives the pizza a distinctive char and smoky flavor that's impossible to replicate any other way. The slight bitterness of the charred spots perfectly balances the sweetness of the sauce.,authentic coal fire perfection coal fire oven give pizza distinctive char smoky flavor impossible replicate way slight bitterness char spot perfectly balance sweetness sauce,5,2024-01-03,en
Refrigerated dough taste,"The crust had that distinctive 'refrigerator' taste that comes from dough that's been sitting around too long. Fresh dough has a sweet, yeasty flavor - this had none of that. Clearly not made fresh daily as advertised.",refrigerated dough taste crust distinctive refrigerator taste come dough sit long fresh dough sweet yeasty flavor clearly fresh daily advertise,2,2024-02-16,en
Perfect for picky eaters,Their 'build your own quarter' option is genius - a large pizza divided into quadrants with different toppings. Perfect for our family where everyone wants something different. No more ordering multiple pizzas!,perfect picky eater build quarter option genius large pizza divide quadrant different topping perfect family want different order multiple pizza,4,2024-03-13,en
Sauce like ketchup,"The sauce was suspiciously sweet and one-dimensional, reminiscent of ketchup rather than a proper pizza sauce. No evidence of herbs, garlic, or any complexity. Ruined what otherwise could have been a decent pizza.",sauce like ketchup sauce suspiciously sweet dimensional reminiscent ketchup proper pizza sauce evidence herb garlic complexity ruin decent pizza,2,2024-01-27,en
Perfect pepperoni placement,"As a pepperoni perfectionist, I appreciate that they space the pepperoni so every bite gets one full piece. No bare spots or clumped areas. Shows attention to detail that elevates the whole experience.",perfect pepperoni placement pepperoni perfectionist appreciate space pepperoni bite get piece bare spot clump area show attention detail elevate experience,5,2024-02-17,en
Not worth the wait,"90-minute wait on a Thursday night with no option to call ahead. The pizza was good when we finally got it, but nothing special enough to justify such a long wait. Many comparable options with better systems.",worth wait minute wait Thursday night option ahead pizza good finally get special justify long wait comparable option well system,3,2024-03-14,en
Crispy yet chewy perfection,"How they achieve a crust that's simultaneously crispy on the outside and chewy inside is beyond me, but it's perfect. The contrast in textures makes every bite interesting, and it holds up well to the toppings.",Crispy chewy perfection achieve crust simultaneously crispy outside chewy inside perfect contrast texture make bite interesting hold topping,5,2024-01-19,en
Too much cornmeal,"They use cornmeal on the bottom of the crust to prevent sticking, which is standard, but they use so much that it's like eating pizza on a sandpaper surface. Gritty texture overwhelms the experience.",cornmeal use cornmeal crust prevent sticking standard use like eat pizza sandpaper surface gritty texture overwhelm experience,3,2024-02-13,en
Incredible vodka sauce base,"Their vodka sauce pizza with fresh mozzarella and basil is something special. The creamy, slightly spicy sauce is a perfect alternative to traditional tomato sauce. Add prosciutto for an extra flavor dimension!",incredible vodka sauce base vodka sauce pizza fresh mozzarella basil special creamy slightly spicy sauce perfect alternative traditional tomato sauce add prosciutto extra flavor dimension,5,2024-03-19,en
Cold center burnt edges,The pizza looked beautiful but had serious temperature issues - edges were burnt while the center was barely warm with undermelted cheese. Clear sign of an oven that's not properly calibrated or monitored.,cold center burn edge pizza look beautiful temperature issue edge burn center barely warm undermelted cheese clear sign oven properly calibrate monitor,2,2024-01-22,en
Perfect sauce-to-cheese ratio,They've perfected the ratio of sauce to cheese - enough sauce to be flavorful and moist but not so much that it makes the crust soggy. The cheese covers evenly but isn't overwhelming. Technical perfection!,perfect sauce cheese ratio perfect ratio sauce cheese sauce flavorful moist make crust soggy cheese cover evenly overwhelming technical perfection,5,2024-02-26,en
Weird aftertaste,"Everything seemed fine at first bite, but there was a strange metallic aftertaste that became more pronounced as I continued eating. Not sure if it was the sauce or something in their water for the dough.",weird aftertaste fine bite strange metallic aftertaste pronounced continue eat sure sauce water dough,2,2024-03-01,en
Outstanding variety of options,"Their menu has something for everyone - traditional options done well, creative specialties, and customizable choices. Even have dessert pizzas that are surprisingly good (try the Nutella and banana!).",outstanding variety option menu traditional option creative specialty customizable choice dessert pizza surprisingly good try Nutella banana,5,2024-01-07,en
All style no substance,"The restaurant looks trendy and their branding is cool, but the pizza itself is just average. Seems like they invested more in Instagram-worthy décor than in developing a distinctive, delicious product.",style substance restaurant look trendy branding cool pizza average like invest Instagram worthy décor develop distinctive delicious product,3,2024-02-21,en
Perfect temperature every time,"However they do it, their pizza always arrives at the perfect temperature - hot enough that the cheese is still stretchy but not so hot that it burns your mouth. Consistently excellent, even on busy nights.",perfect temperature time pizza arrive perfect temperature hot cheese stretchy hot burn mouth consistently excellent busy night,5,2024-03-15,en
Stale-tasting crust,"The crust had a stale, almost cardboard-like quality that suggests either old dough or old flour. Fresh ingredients on top couldn't compensate for the foundation being off.",stale taste crust crust stale cardboard like quality suggest old dough old flour fresh ingredient compensate foundation,2,2024-01-29,en
Excellent wine pairings,"Their curated wine list is designed specifically to pair with their pizzas, and the staff is knowledgeable about suggesting the perfect match. The house red with their sausage pizza is a transcendent combination.",excellent wine pairing curate wine list design specifically pair pizza staff knowledgeable suggest perfect match house red sausage pizza transcendent combination,5,2024-02-07,en
Too much garlic,"I love garlic but this was excessive - felt like they mistook cloves for teaspoons in the recipe. My breath was lethal afterward, and the powerful flavor overwhelmed the other ingredients.",garlic love garlic excessive feel like mistook clove teaspoon recipe breath lethal afterward powerful flavor overwhelm ingredient,3,2024-03-08,en
Perfect for kids' parties,"Hosted my son's birthday here and it was fantastic. They did a dough-tossing demonstration for the kids, let them make their own mini pizzas, and the staff was incredibly patient and kind.",perfect kid party host son birthday fantastic dough toss demonstration kid let mini pizza staff incredibly patient kind,5,2024-01-11,en
Toppings slide right off,The ratio of sauce to cheese was so off that all the toppings slid off with the first bite. Ended up eating what was essentially dough with sauce while the cheese and toppings formed a pile on my plate.,topping slide right ratio sauce cheese topping slide bite end eat essentially dough sauce cheese topping form pile plate,2,2024-02-11,en
Expert-level pizza folding,Their thin-crust slices fold perfectly New York-style without cracking or losing toppings. The slight resistance before the fold is exactly what you want - showing the perfect balance of crisp and chew.,expert level pizza fold thin crust slice fold perfectly New York style crack lose topping slight resistance fold exactly want show perfect balance crisp chew,5,2024-03-10,en
No flavor distinction,Ordered two completely different specialty pizzas but they somehow tasted nearly identical. It's like they use the same base for everything and the toppings don't impart enough distinctive character.,flavor distinction order completely different specialty pizza taste nearly identical like use base topping impart distinctive character,3,2024-01-17,en
Righteous ranch drizzle,Their house-made ranch drizzle takes their pizzas to another level. It's not your typical ranch - has hints of dill and garlic with a perfect consistency that adds creaminess without making things soggy.,righteous ranch drizzle house ranch drizzle take pizza level typical ranch hint dill garlic perfect consistency add creaminess make thing soggy,5,2024-02-03,en
Too much cheese,"There is such a thing as too much cheese, and this place proves it. The excessive cheese made the pizza so heavy and greasy that it was unpleasant to eat. Quality should matter more than quantity.",cheese thing cheese place prove excessive cheese pizza heavy greasy unpleasant eat Quality matter quantity,2,2024-03-04,en
Perfect crunch factor,"The bottom of their crust has the perfect level of crunch - you hear it when you bite in, but it's not so hard that it hurts your mouth. Technical pizza perfection that's clearly the result of careful testing.",perfect crunch factor crust perfect level crunch hear bite hard hurt mouth technical pizza perfection clearly result careful testing,5,2024-01-24,en
Burned mouth on first bite,"They served the pizza dangerously hot - barely out of the oven with no time to cool. Severely burned the roof of my mouth on the first bite, which ruined the rest of the meal and my next few days.",burn mouth bite serve pizza dangerously hot barely oven time cool severely burn roof mouth bite ruin rest meal day,2,2024-02-20,en
Superior ingredients make the difference,"They import their flour from Italy, use San Marzano tomatoes, and make their mozzarella in-house daily. The commitment to quality ingredients is evident in every bite - nothing is an afterthought.",superior ingredient difference import flour Italy use San Marzano tomato mozzarella house daily commitment quality ingredient evident bite afterthought,5,2024-03-18,en
Underwhelming and basic,"Nothing particularly wrong with it, but nothing memorable either. Standard crust, standard sauce, standard toppings. In a city with so many pizza options, this place doesn't give you any reason to return.",underwhelme basic particularly wrong memorable standard crust standard sauce standard topping city pizza option place reason return,3,2024-01-09,en
Excellent attention to cooking time,They nail the cooking time perfectly - pulling the pizza from the oven at exactly the right moment when the cheese is fully melted and bubbling but not yet browned. Shows expertise and attention to detail.,excellent attention cooking time nail cooking time perfectly pull pizza oven exactly right moment cheese fully melt bubble brown show expertise attention detail,5,2024-02-22,en
False advertising on size,"Their menu clearly states that a large pizza is 16 inches, but what we received couldn't have been more than 14 inches. When questioned, they claimed their menu was outdated but refused any adjustment.",false advertising size menu clearly state large pizza inch receive inch question claim menu outdate refuse adjustment,2,2024-03-12,en
Perfect ingredient distribution,"Every bite had the perfect combination of ingredients - no barren spots, no overwhelming clumps. The toppings were distributed with such precision it almost seemed measured. The mark of true professionals!",perfect ingredient distribution bite perfect combination ingredient barren spot overwhelming clump topping distribute precision measured mark true professional,5,2024-01-06,en
Lackluster veggie options,"Their vegetable toppings lacked freshness and flavor - the mushrooms were clearly canned, the peppers were soft and faded, and the onions were sparse. Disappointing for a place that advertises farm-fresh ingredients.",Lackluster veggie option vegetable topping lack freshness flavor mushroom clearly can pepper soft fade onion sparse disappoint place advertise farm fresh ingredient,3,2024-02-19,en
Ideal char-to-chew ratio,The small charred bubbles on the crust add amazing flavor without dominating. They've mastered that balance between the slight bitterness of char and the natural sweetness of the dough. Technical perfection!,ideal char chew ratio small charred bubble crust add amazing flavor dominating master balance slight bitterness char natural sweetness dough technical perfection,5,2024-03-03,en
Cheese solidified too quickly,"The cheese hardened into a solid mass before we were even halfway through the pizza. By the end, it was like eating a cheese cracker on bread. Suggests poor quality cheese or improper handling.",Cheese solidify quickly cheese harden solid mass halfway pizza end like eat cheese cracker bread suggest poor quality cheese improper handling,2,2024-01-31,en
Brilliant buffalo chicken pizza,"Their buffalo chicken pizza balances spicy and creamy perfectly - the chicken is actually high-quality and juicy (not the dry cubes many places use), and the blue cheese is distributed perfectly for balanced bites.",brilliant buffalo chicken pizza buffalo chicken pizza balance spicy creamy perfectly chicken actually high quality juicy dry cube place use blue cheese distribute perfectly balanced bite,5,2024-02-15,en
No-cheese option was all sauce,"Ordered a cheese-free pizza for my dairy-allergic friend, but they made no adjustments - just removed the cheese and left a soggy sauce-covered bread. Good pizza without cheese requires rebalancing other elements.",cheese option sauce order cheese free pizza dairy allergic friend adjustment remove cheese leave soggy sauce cover bread good pizza cheese require rebalance element,2,2024-03-11,en
Outstanding breakfast pizza,"Their brunch pizza with bacon, eggs, and hollandaise sauce is incredible. The eggs are perfectly cooked with runny yolks that create a rich sauce when broken. Worth waking up early for weekend brunch!",outstanding breakfast pizza brunch pizza bacon egg hollandaise sauce incredible egg perfectly cook runny yolk create rich sauce break worth wake early weekend brunch,5,2024-01-14,en
Painfully obvious cheap ingredients,"The pre-shredded cheese didn't melt properly, the sauce tasted like it came from a can, and the sausage had that distinctive processed flavor. At these prices, cutting corners on ingredients is inexcusable.",painfully obvious cheap ingredient pre shredded cheese melt properly sauce taste like come sausage distinctive process flavor price cut corner ingredient inexcusable,2,2024-02-08,en
Perfect for late-night cravings,"Open until 3am on weekends, this place has saved many late nights. The slices are huge, they reheat them perfectly so they're crispy, and their special late-night menu items are creative and delicious.",perfect late night craving Open weekend place save late night slice huge reheat perfectly crispy special late night menu item creative delicious,5,2024-03-07,en
Too thin to be satisfying,"Their ultra-thin crust might appeal to some, but it was too insubstantial to be satisfying. Felt like I was eating toppings on a cracker rather than a proper pizza. Left still feeling hungry.",thin satisfy ultra thin crust appeal insubstantial satisfy felt like eat topping cracker proper pizza left feel hungry,3,2024-01-25,en
Masterful use of olive oil,"The drizzle of high-quality olive oil they add just before serving makes all the difference - adds richness, enhances the flavors of the other ingredients, and adds a wonderful aromatic element. Simple but transformative.",masterful use olive oil drizzle high quality olive oil add serve make difference adds richness enhance flavor ingredient add wonderful aromatic element simple transformative,5,2024-02-28,en
Absurdly small slices,"Their 8-slice large pizza had slices so small they were almost comical - two bites and they're gone. For the price charged, the portion size is simply unacceptable. Felt like a ripoff.",absurdly small slice slice large pizza slice small comical bite go price charge portion size simply unacceptable felt like ripoff,2,2024-03-05,en
Perfect balance of herbs in the sauce,"Their sauce has a complex herb profile that evolves as you eat - initial notes of basil give way to oregano, with subtle garlic and a hint of fennel in the finish. Clearly made by someone who understands flavor development.",perfect balance herb sauce sauce complex herb profile evolve eat initial note basil way oregano subtle garlic hint fennel finish clearly understand flavor development,5,2024-01-02,en
Tough leathery crust,"The crust was so tough I almost couldn't bite through it - like trying to eat leather. The edges were particularly problematic, had to tear pieces off with significant effort. Completely lacks the pleasant chewiness good pizza should have.",tough leathery crust crust tough bite like try eat leather edge particularly problematic tear piece significant effort completely lack pleasant chewiness good pizza,2,2024-02-04,en
Exceptional spinach ricotta pie,Their white pizza with spinach and ricotta is exceptional - the creamy richness of the cheese balanced by the slight bitterness of the greens. The garlic-infused olive oil base ties everything together perfectly.,exceptional spinach ricotta pie white pizza spinach ricotta exceptional creamy richness cheese balance slight bitterness green garlic infuse olive oil base tie perfectly,5,2024-03-09,en
Sloppy presentation,"The pizza looked like it had been assembled in a hurry - toppings haphazardly thrown on, cheese unevenly distributed, and the cutting was so uneven that some slices were twice the size of others. Taste was okay, but appearance matters too.",sloppy presentation pizza look like assemble hurry topping haphazardly throw cheese unevenly distribute cutting uneven slice twice size Taste okay appearance matter,3,2024-01-13,en
Brilliant seasonal rotation,"Love that they have a rotating seasonal pizza that showcases what's fresh. The current spring offering with asparagus, green garlic, and fresh peas is bright and delicious - a perfect reflection of the season.",brilliant seasonal rotation Love rotate seasonal pizza showcase fresh current spring offering asparagus green garlic fresh pea bright delicious perfect reflection season,5,2024-02-23,en
Way too much crust,The edge crust (cornicione) was comically large - almost half of each slice was just bread with no toppings. This ratio of crust to actual pizza was way off and made for a disappointing experience.,way crust edge crust cornicione comically large half slice bread topping ratio crust actual pizza way disappointing experience,2,2024-03-16,en
Perfect textural contrast,"The contrast between the crisp bottom, the tender interior crumb, the gooey cheese, and the slight resistance of the toppings creates a textural symphony. Each bite is interesting and satisfying in a different way.",perfect textural contrast contrast crisp tender interior crumb gooey cheese slight resistance topping create textural symphony bite interesting satisfy different way,5,2024-01-18,en
Unmelted cheese in the center,"The edges were fine but the center had cold, unmelted cheese - a sign the oven wasn't hot enough or the pizza wasn't cooked long enough. Basic pizza fundamentals seem to be lacking.",unmelted cheese center edge fine center cold unmelted cheese sign oven hot pizza cook long basic pizza fundamental lack,2,2024-02-06,en
Innovative flavor combinations,"Their 'Avant Garde' menu section features combinations I would never have thought of but somehow work perfectly. The pear, gorgonzola, walnut, and honey pizza was a revelation of sweet, salty, and savory harmony.",innovative flavor combination Avant Garde menu section feature combination think work perfectly pear gorgonzola walnut honey pizza revelation sweet salty savory harmony,5,2024-03-13,en
Burned bottom raw top,The bottom of the crust was completely black while the cheese on top wasn't fully melted. This temperature imbalance suggests serious issues with their oven management and pizza-making technique.,burn raw crust completely black cheese fully melt temperature imbalance suggest issue oven management pizza make technique,1,2024-01-20,en
